长春,{'2007':,2901,'2008':,3387.666667,'2009':,3562.333333,'2010':,4787.416667,'2011':,6162.833333,'2012':,6285.833333,'2013':,6761.5,'2014':,6952.416667,'2015':,6691.916667,'2016':,6510.166667,'2017':,7040.416666666667}
,,,,,,,,,,,,,,,,,,,,,,
长沙,{'2007':,3522.833333,'2008':,4108.333333,'2009':,4369.833333,'2010':,5509.25,'2011':,6572.666667,'2012':,6488.916667,'2013':,6492.75,'2014':,6411.833333,'2015':,6356.333333,'2016':,6812.166667,'2017':,9323.0}
,,,,,,,,,,,,,,,,,,,,,,
广州,{'2007':,6617.916667,'2008':,7455.666667,'2009':,8677.666667,'2010':,11534.91667,'2011':,14605.58333,'2012':,15472.16667,'2013':,18163.91667,'2014':,18757.16667,'2015':,19711.5,'2016':,21163.5,'2017':,28498.75}
,,,,,,,,,,,,,,,,,,,,,,
济南,{'2007':,4331.25,'2008':,5377.666667,'2009':,5716.833333,'2010':,7476.166667,'2011':,8547.916667,'2012':,8299,'2013':,9160.25,'2014':,10030,'2015':,9836.5,'2016':,11293.41667,'2017':,16303.083333333334}
,,,,,,,,,,,,,,,,,,,,,,
南昌,{'2007':,5014.916667,'2008':,5098,'2009':,5086.416667,'2010':,6028.583333,'2011':,7488.5,'2012':,8021.25,'2013':,8848.083333,'2014':,9095.333333,'2015':,8973.25,'2016':,9260,'2017':,10313.0}
,,,,,,,,,,,,,,,,,,,,,,
天津,{'2007':,7230.75,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
西安,{'2007':,3122,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
香港,{'2007':,[],'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
澳门,{'2007':,[],'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
台北,{'2007':,[],'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
福州,{'2007':,6967.6,'2008':,7607.5,'2009':,7534.833333,'2010':,9923.833333,'2011':,11394.08333,'2012':,11085.75,'2013':,13013.5,'2014':,13626.66667,'2015':,14157.66667,'2016':,16688,'2017':,24047.916666666668}
,,,,,,,,,,,,,,,,,,,,,,
上海,{'2007':,16603.77778,'2008':,17156.75,'2009':,17410,'2010':,23322.75,'2011':,24830.83333,'2012':,24654,'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
沈阳,{'2007':,4130.555556,'2008':,4831.428571,'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
武汉,{'2007':,3937.4,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
贵阳,{'2007':,3566.5,'2008':,3920.25,'2009':,4152.833333,'2010':,5013.666667,'2011':,5625.666667,'2012':,5619.416667,'2013':,5631.666667,'2014':,5827.166667,'2015':,6023,'2016':,6230.583333,'2017':,6859.666666666667}
,,,,,,,,,,,,,,,,,,,,,,
昆明,{'2007':,4355.75,'2008':,4772,'2009':,5196,'2010':,7198.083333,'2011':,8904.666667,'2012':,8732.5,'2013':,8799.25,'2014':,8568.5,'2015':,8177.333333,'2016':,8260.583333,'2017':,9595.083333333334}
,,,,,,,,,,,,,,,,,,,,,,
成都,{'2007':,5985.428571,'2008':,6418.083333,'2009':,6403,'2010':,7707.083333,'2011':,8764.166667,'2012':,8394.666667,'2013':,8759.083333,'2014':,8456.333333,'2015':,8193.583333,'2016':,8356,'2017':,11448.583333333334}
,,,,,,,,,,,,,,,,,,,,,,
南京,{'2007':,8731.571429,'2008':,8730.166667,'2009':,9422.166667,'2010':,13079.5,'2011':,14325.08333,'2012':,14189.75,'2013':,16064.25,'2014':,17487.33333,'2015':,17303.91667,'2016':,21489,'2017':,26333.833333333332}
,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,{'2007':,4597,'2008':,5291.916667,'2009':,6445.583333,'2010':,7515.75,'2011':,7743.583333,'2012':,7406,'2013':,7247.166667,'2014':,7190.416667,'2015':,7181,'2016':,7470.5,'2017':,8268.333333333334}
,,,,,,,,,,,,,,,,,,,,,,
合肥,{'2007':,4153.166667,'2008':,4503.5,'2009':,4672.416667,'2010':,5670.416667,'2011':,6297.166667,'2012':,6321.916667,'2013':,6824.666667,'2014':,7606.833333,'2015':,7975.166667,'2016':,11909.16667,'2017':,14563.083333333334}
,,,,,,,,,,,,,,,,,,,,,,
石家庄,{'2007':,3975.833333,'2008':,4292.916667,'2009':,4409.5,'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
乌鲁木齐,{'2007':,2601.5,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
重庆,{'2007':,3983.6,'2008':,4308.833333,'2009':,4546.166667,'2010':,6040.416667,'2011':,7188.75,'2012':,6810.5,'2013':,7202,'2014':,7318.666667,'2015':,6985.75,'2016':,7020.833333,'2017':,9258.666666666666}
,,,,,,,,,,,,,,,,,,,,,,
太原,{'2007':,3936.6,'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
兰州,{'2007':,3290,'2008':,3702.333333,'2009':,4321.416667,'2010':,6157.5,'2011':,7534.333333,'2012':,7621.75,'2013':,8242.5,'2014':,8444,'2015':,8386.083333,'2016':,8822.75,'2017':,9559.5}
,,,,,,,,,,,,,,,,,,,,,,
南宁,{'2007':,3835.25,'2008':,4275.5,'2009':,4787.75,'2010':,6434.75,'2011':,6973.333333,'2012':,6920.083333,'2013':,7048.833333,'2014':,6945.416667,'2015':,7000,'2016':,7248.25,'2017':,8873.583333333334}
,,,,,,,,,,,,,,,,,,,,,,
郑州,{'2007':,[],'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]}
,,,,,,,,,,,,,,,,,,,,,,
北京,{'2008':,12782.5,'2009':,14373.66667,'2010':,21118.08333,'2011':,25459.41667,'2012':,26612.5,'2013':,35857.25,'2014':,37416.33333,'2015':,36735.58333,'2016':,47312,'2017':,63945.416666666664},,
,,,,,,,,,,,,,,,,,,,,,,
杭州,{'2008':,12200.58333,'2009':,14103.33333,'2010':,18898.08333,'2011':,20090.83333,'2012':,18484.91667,'2013':,19017.16667,'2014':,18143.33333,'2015':,17791.41667,'2016':,19274.25,'2017':,25559.833333333332},,
,,,,,,,,,,,,,,,,,,,,,,
海口,{'2008':,3839.6,'2009':,4168.333333,'2010':,7471.666667,'2011':,7931.416667,'2012':,7231.166667,'2013':,7410,'2014':,7427.583333,'2015':,7369.25,'2016':,7720,'2017':,10608.333333333334},,
,,,,,,,,,,,,,,,,,,,,,,
西宁,{'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]},,
,,,,,,,,,,,,,,,,,,,,,,
银川,{'2008':,[],'2009':,[],'2010':,[],'2011':,[],'2012':,[],'2013':,[],'2014':,[],'2015':,[],'2016':,[],'2017':,[]},,
,,,,,,,,,,,,,,,,,,,,,,
呼和浩特,{'2009':,3450,'2010':,4111.5,'2011':,5872.083333,'2012':,6380.333333,'2013':,6556.166667,'2014':,6432.25,'2015':,6314.25,'2016':,6444.5,'2017':,7241.916666666667},,,,
,,,,,,,,,,,,,,,,,,,,,,
拉萨,{'2012':,3958.090909,'2013':,4905.833333,'2014':,7162.333333,'2015':,7410.333333,'2016':,7683,'2017':,8304.166666666666},,,,,,,,,,
